"pdiff","n10","n20","n30","n40","n50","n60","n70","n80","n90","n100","n110","n120","n130","n140","n150","n160","n170","n180","n190","n200","n210","n220","n230","n240","n250","n260","n270","n280","n290","n300","n310","n320","n330","n340","n350","n360","n370","n380","n390","n400","n410","n420","n430","n440","n450","n460","n470","n480","n490","n500","n510","n520","n530","n540","n550","n560","n570","n580","n590","n600"
0.05,0.5,0.5,0.397,0.411,0.42,0.356,0.304,0.316,0.325,0.284,0.248,0.257,0.265,0.234,0.207,0.214,0.221,0.197,0.175,0.181,0.187,0.167,0.15,0.155,0.16,0.144,0.129,0.133,0.137,0.124,0.112,0.115,0.119,0.107,0.097,0.1,0.103,0.093,0.084,0.087,0.09,0.081,0.074,0.076,0.078,0.071,0.065,0.067,0.069,0.062,0.057,0.058,0.06,0.055,0.05,0.051,0.053,0.048,0.044,0.045
0.1,0.5,0.375,0.302,0.25,0.211,0.179,0.154,0.133,0.115,0.1,0.088,0.077,0.067,0.059,0.052,0.046,0.041,0.036,0.032,0.028,0.025,0.022,0.02,0.017,0.015,0.014,0.012,0.011,0.01,0.009,0.008,0.007,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0
0.15,0.327,0.263,0.219,0.131,0.081,0.072,0.064,0.041,0.026,0.024,0.015,0.014,0.009,0.008,0.008,0.005,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.327,0.171,0.098,0.059,0.036,0.022,0.014,0.009,0.006,0.004,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.327,0.103,0.035,0.022,0.014,0.005,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.184,0.056,0.019,0.007,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0.085,0.027,0.01,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.085,0.012,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.085,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.03,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
