"x","y"
0.517241379310345,21.4730290456432
1.46551724137931,15.2489626556017
2.41379310344828,20.3319502074689
3.53448275862069,15.1452282157676
4.48275862068966,10.6846473029046
5.60344827586207,-0.311203319502072
6.55172413793104,-0.207468879668049
7.32758620689655,-0.207468879668049
8.44827586206897,2.38589211618257
9.39655172413793,6.74273858921162
10.7758620689655,7.36514522821577
11.6379310344828,11.5145228215768
12.5,10.6846473029046
13.3620689655172,15.6639004149378
14.2241379310345,18.6721991701245
15.1724137931034,20.954356846473
16.3793103448276,15.1452282157676
17.4137931034483,17.0124481327801
18.6206896551724,15.8713692946058
19.6551724137931,13.9004149377593
