"x","y"
0.456621004566218,14.2276422764228
1.55251141552512,14.5325203252032
2.46575342465754,17.2764227642276
3.4703196347032,11.4837398373984
4.47488584474887,14.2276422764228
5.57077625570777,3.55691056910569
6.48401826484019,7.21544715447155
7.57990867579909,5.99593495934959
8.49315068493151,8.63821138211382
9.58904109589042,9.55284552845528
10.4109589041096,9.34959349593496
11.324200913242,13.3130081300813
13.3333333333333,11.7886178861789
14.4292237442922,13.719512195122
15.1598173515982,12.8048780487805
16.4383561643836,10.3658536585366
17.4429223744292,13.2113821138211
18.5388127853881,12.1951219512195
19.3607305936073,14.1260162601626
