"","x","y"
"1",3.17751479289941,44.5054945054945
"2",4.17159763313609,25.2747252747253
"3",5.07100591715976,43.956043956044
"4",6.11242603550296,54.3956043956044
"5",7.10650887573965,15.934065934066
"6",8.10059171597633,25.2747252747253
"7",9.14201183431953,53.8461538461539
"8",10.2781065088757,25.2747252747253
"9",11.1775147928994,35.7142857142857
"10",12.1715976331361,91.2087912087912
"11",13.0710059171598,71.978021978022
"12",14.112426035503,63.1868131868132
"13",15.0591715976331,81.3186813186813
"14",16.0532544378698,62.0879120879121
